Timestamp,FaultMode,FaultLabel,N1,N2,Thrust,FuelFlow,FanVersion,FanCycles,LPCVersion,LPCCycles,HPCVersion,HPCCycles,HPTVersion,HPTCycles,LPTVersion,LPTCycles,FlightStatus
2025-07-18 23:55:00,0,None,24993.43,4972.35,294715.33,0.0752,FAN_V2.1,190,LPC_V3.3,62,HPC_V3.1,35,HPT_V2.2,26,LPT_V1.5,151,0
2025-07-19 00:15:00,3,HPT Fault,23531.69,4953.17,308688.19,0.0677,FAN_V2.1,8,LPC_V3.1,55,HPC_V3.1,129,HPT_V2.2,6,LPT_V1.5,166,1
2025-07-19 00:35:00,4,Fuel Issue,23061.05,5108.51,278048.73,0.0553,FAN_V2.2,57,LPC_V3.4,150,HPC_V3.2,1,HPT_V2.0,178,LPT_V1.6,87,1
2025-07-19 00:55:00,2,LPC Fault,24483.92,4617.34,259126.23,0.0544,FAN_V2.1,56,LPC_V3.3,26,HPC_V3.0,97,HPT_V2.0,91,LPT_V1.6,154,1
2025-07-19 01:15:00,2,LPC Fault,21974.34,5062.85,271379.64,0.0459,FAN_V2.1,187,LPC_V3.4,137,HPC_V3.0,96,HPT_V2.0,141,LPT_V1.6,160,0
2025-07-19 01:35:00,4,Fuel Issue,26931.3,4954.84,286012.92,0.0458,FAN_V2.2,148,LPC_V3.2,180,HPC_V3.0,11,HPT_V2.2,58,LPT_V1.6,20,0
2025-07-19 01:55:00,1,Fan Fault,22911.23,5022.18,267735.1,0.0638,FAN_V2.1,98,LPC_V3.3,116,HPC_V3.2,41,HPT_V2.1,90,LPT_V1.5,171,1
2025-07-19 02:15:00,2,LPC Fault,22798.72,4941.66,275974.4,0.0785,FAN_V2.3,175,LPC_V3.1,155,HPC_V3.1,136,HPT_V2.2,62,LPT_V1.5,118,1
2025-07-19 02:35:00,3,HPT Fault,23973.01,4788.46,297338.17,0.0478,FAN_V2.2,164,LPC_V3.2,175,HPC_V3.2,196,HPT_V2.0,58,LPT_V1.5,80,0
2025-07-19 02:55:00,3,HPT Fault,24417.73,4608.07,265077.21,0.062,FAN_V2.2,17,LPC_V3.2,145,HPC_V3.2,54,HPT_V2.2,127,LPT_V1.6,164,1
2025-07-19 03:15:00,3,HPT Fault,25476.93,5034.27,283265.28,0.057,FAN_V2.1,68,LPC_V3.2,63,HPC_V3.2,191,HPT_V2.2,109,LPT_V1.6,92,0
2025-07-19 03:35:00,1,Fan Fault,21042.96,4856.03,278090.42,0.0706,FAN_V2.1,131,LPC_V3.4,23,HPC_V3.0,28,HPT_V2.0,160,LPT_V1.5,174,1
2025-07-19 03:55:00,3,HPT Fault,24687.24,4647.39,289861.26,0.0561,FAN_V2.3,17,LPC_V3.4,97,HPC_V3.3,135,HPT_V2.1,141,LPT_V1.5,174,1
2025-07-19 04:15:00,0,None,22646.16,5122.34,300464.99,0.0693,FAN_V2.3,138,LPC_V3.3,164,HPC_V3.2,28,HPT_V2.1,111,LPT_V1.5,116,1
2025-07-19 04:35:00,0,None,22321.56,4938.16,289968.95,0.0698,FAN_V2.3,185,LPC_V3.3,128,HPC_V3.1,129,HPT_V2.0,160,LPT_V1.6,163,0
2025-07-19 04:55:00,4,Fuel Issue,23041.65,4962.87,268404.98,0.048,FAN_V2.3,51,LPC_V3.2,95,HPC_V3.1,138,HPT_V2.2,0,LPT_V1.6,125,1
2025-07-19 05:15:00,0,None,25625.05,5271.25,283919.85,0.07,FAN_V2.1,93,LPC_V3.3,61,HPC_V3.0,61,HPT_V2.2,20,LPT_V1.5,124,1
2025-07-19 05:35:00,0,None,24723.27,4870.98,290420.93,0.0754,FAN_V2.3,197,LPC_V3.2,32,HPC_V3.3,140,HPT_V2.0,67,LPT_V1.6,54,0
2025-07-19 05:55:00,4,Fuel Issue,23928.35,5312.93,245703.82,0.0682,FAN_V2.3,177,LPC_V3.2,79,HPC_V3.3,171,HPT_V2.2,95,LPT_V1.6,132,1
2025-07-19 06:15:00,3,HPT Fault,24174.09,4940.2,286376.41,0.0401,FAN_V2.1,64,LPC_V3.2,16,HPC_V3.2,5,HPT_V2.2,141,LPT_V1.5,150,0
2025-07-19 06:35:00,1,Fan Fault,23560.66,5071.42,307168.41,0.0548,FAN_V2.1,19,LPC_V3.1,58,HPC_V3.0,8,HPT_V2.1,18,LPT_V1.5,71,1
2025-07-19 06:55:00,3,HPT Fault,22383.01,4899.65,298731.03,0.0633,FAN_V2.1,139,LPC_V3.2,146,HPC_V3.3,62,HPT_V2.1,104,LPT_V1.5,24,1
2025-07-19 07:15:00,0,None,22940.48,5102.65,286456.16,0.0697,FAN_V2.3,111,LPC_V3.3,108,HPC_V3.3,119,HPT_V2.2,13,LPT_V1.5,15,1
2025-07-19 07:35:00,3,HPT Fault,22595.89,4934.47,279118.38,0.0454,FAN_V2.3,87,LPC_V3.1,63,HPC_V3.1,48,HPT_V2.2,114,LPT_V1.5,108,1
2025-07-19 07:55:00,1,Fan Fault,24592.24,5052.21,285076.7,0.0577,FAN_V2.2,119,LPC_V3.2,19,HPC_V3.3,140,HPT_V2.0,12,LPT_V1.5,23,1
2025-07-19 08:15:00,1,Fan Fault,21169.26,4915.87,279859.28,0.052,FAN_V2.1,105,LPC_V3.4,123,HPC_V3.1,102,HPT_V2.0,42,LPT_V1.6,0,1
2025-07-19 08:35:00,3,HPT Fault,23677.43,5080.81,313292.79,0.0617,FAN_V2.2,117,LPC_V3.3,108,HPC_V3.3,39,HPT_V2.0,75,LPT_V1.5,14,1
2025-07-19 08:55:00,4,Fuel Issue,24515.1,4985.11,256218.43,0.0597,FAN_V2.3,139,LPC_V3.1,80,HPC_V3.0,12,HPT_V2.2,122,LPT_V1.5,14,1
2025-07-19 09:15:00,4,Fuel Issue,24120.46,5492.65,282114.59,0.063,FAN_V2.1,48,LPC_V3.1,152,HPC_V3.0,172,HPT_V2.0,103,LPT_V1.5,145,1
2025-07-19 09:35:00,1,Fan Fault,23930.58,4766.26,302142.34,0.0675,FAN_V2.3,153,LPC_V3.1,158,HPC_V3.0,107,HPT_V2.2,149,LPT_V1.6,66,1
2025-07-19 09:55:00,1,Fan Fault,25582.06,4818.12,306041.91,0.046,FAN_V2.3,184,LPC_V3.3,61,HPC_V3.2,101,HPT_V2.0,171,LPT_V1.6,117,0
